SOC	Term	Freq
11	human_resources	1743794
11	management	648685
11	project_manager	570530
11	sales_manager	482613
11	human_resources_manager	420520
11	operations_manager	414020
11	district_manager	354547
11	property_manager	354521
11	construction	350040
11	plant_manager	345571
11	vice_president	253239
11	property_management	233168
11	general_manager	204081
11	construction_project_manager	186884
11	warehouse_manager	169827
11	restaurant_manager	168590
11	construction_manager	143612
11	construction_superintendent	137389
11	account_manager	114423
11	registered_nurse	111747
11	office_manager	110436
11	regional_manager	101655
11	marketing_manager	99730
11	business_development	98095
11	director_of_operations	96937
11	accounting_manager	92073
11	nursing_home_administrator	91393
11	restaurant_management	88600
11	production_manager	84897
11	regional_sales_manager	84869
11	store_manager	80217
11	retail_management	78179
11	quality_manager	77128
11	healthcare_management	76916
11	executive_director	76551
11	it_director	76369
11	transportation_manager	75450
11	purchasing_manager	73318
11	manufacturing_manager	72506
11	healthcare_administration	71434
11	human_resources_director	71290
11	program_manager	70073
11	it_manager	68705
11	automotive_sales_manager	68513
11	finance_manager	65068
11	rn	62136
11	ceo	61938
11	coo	61893
11	chief_financial_officer	61772
11	superintendent	57453
11	distribution_manager	57432
11	logistics_manager	56946
11	materials_manager	55243
11	human_resources_generalist	53172
11	human_resources_management	52937
11	product_manager	50103
11	marketing_director	48774
11	recruiter	48593
11	project_coordinator	47317
11	construction_management	45888
11	call_center_manager	45694
11	area_manager	43972
11	mba	43772
11	nurse	42529
11	hr_manager	42170
11	project_management	40634
11	supervisor	40572
11	social_media	40511
11	engineering_manager	40359
11	director_of_nursing	40015
11	retail_manager	39995
11	accountant	39987
11	financial_analysis	39903
11	director_of_finance	39684
11	cio	37597
11	financial_management	37317
11	public_relations	36799
11	food_service	36739
11	outside_sales	35846
11	branch_manager	35783
11	director_of_sales	35708
11	customer_service_manager	35559
11	collections_manager	34691
11	engineer	34346
11	social_services	34271
11	chief	33943
11	facilities_manager	33384
11	regional_property_manager	33106
11	clinical_research	32426
11	supply_chain_manager	31333
11	assistant_property_manager	31325
11	director_of_admissions	30968
11	leasing_consultant	30706
11	sales_director	30567
11	buyer	29738
11	chef	29683
11	territory_manager	29178
11	sales_management	28882
11	call_center	28427
11	administrative_assistant	28223
11	information_technology	28141
11	marketing_communications	27998
11	campus_director	27664
11	administrator	27276
11	medical_sales	26168
11	retail_store_manager	25489
11	inside_sales	25187
11	director_of_manufacturing	25018
11	credit_manager	24818
11	social_work	24565
11	lpn	24510
11	industrial_sales	23978
11	maintenance_manager	23604
11	national_sales_manager	23556
11	hr_director	22718
11	hr_generalist	22699
11	underwriter	22645
11	food_service_director	22617
11	clinical_research_associate	22510
11	cpa	22129
11	call_center_director	22061
11	project_engineer	21166
11	food_service_manager	21099
11	district_sales_manager	20821
11	vice_president_of_operations	20653
11	apartment_manager	20539
11	international_sales	20452
11	account_executive	20430
11	operations_management	20349
11	medical_office_manager	20197
11	quality_assurance	20108
11	it_project_manager	19877
11	finance_director	19876
11	terminal_manager	19313
11	security_manager	19086
11	restaurant_general_manager	19010
11	regional_sales	18659
11	financial_analyst	18599
11	practice_manager	18554
11	coordinator	17583
11	purchasing_procurement	17486
11	rn_registered_nurse	17451
11	business_development_manager	17366
11	restaurant_district_manager	16916
11	assistant_project_manager	16803
11	food_service_management	16587
11	director_of_marketing	16114
11	senior_accountant	16087
11	director_of_human_resources	15998
11	business_analyst	15752
11	vice_president_of_sales	15534
11	human_resources_assistant	15501
11	assisted_living	15310
11	community_manager	15223
11	construction_project_management	15030
11	accounting_finance	14987
11	employee_relations	14917
11	automotive_general_manager	14837
11	healthcare_administrator	14734
11	plant_engineer	14653
11	cto	14566
11	executive_chef	14561
11	territory_sales_manager	14551
11	continuous_improvement	14327
