File Name	Original Title	Exptected Title	Carotene Expected Title	Expected SOCs	Carotene Socs	Carotene ID	Carotene Title	Confidence	In SOCs	Title Match	Description
v2	Regional Sales Director-West	"THE COMPANY Established Midwest based manufacturer of motorized recreational products sold worldwide. Market through dealers responsible for sales and service. Largest customer, dealer and unit population in the industry.  Fast tracking development of new products and implementation of major enhancements to existing products. Positioning for growth has created need for additional management and field staffing. Great benefits package, including management bonus plan, employee purchase discounts and a full relocation package."	[the company established midwest based manufacturer of motorized recreational products sold worldwide. market through dealers responsible for sales and service. largest customer, dealer and unit population in the industry.  fast tracking development of new products and implementation of major enhancements to existing products. positioning for growth has created need for additional management and field staffing. great benefits package, including management bonus plan, employee purchase discounts and a full relocation package.]	[11, 41]	[11]	11.21	Sales Director	0.5767793	1	0	Sales Director
v2	Territory Manager	"In order to get a quicker response refer to # 1980-HH-SCM-a in the subject are of your email  A HIGH GROWTH Pre-IPO company that is set to go public within 12 to 16 months  - they have an ""Early-to-Market"" advantage to address THE Hottest topic in the LAN/WAN sector.....BANDWITH MANAGEMENT - being able to provide the most robust bandwidth management solutions on the market has got to be one of those great opportunities that are not as prevelant as years prior - You will be responsible for the cultivating of new business - primary selling activity will be to the Fortune 1000 companies and the Government - through network integrators and the resellers."	[in order to get a quicker response refer to # 1980-hh-scm-a in the subject are of your email  a high growth pre-ipo company that is set to go public within 12 to 16 months  - they have an early-to-market advantage to address the hottest topic in the lan/wan sector.....bandwith management - being able to provide the most robust bandwidth management solutions on the market has got to be one of those great opportunities that are not as prevelant as years prior - you will be responsible for the cultivating of new business - primary selling activity will be to the fortune 1000 companies and the government - through network integrators and the resellers.]	[11, 41]	[11]	11.57	Territory Manager	1.0	1	1	Territory Manager
v2	Production Director	"Primary Purpose: To support the marketing, sales, and fund raising objectives for clients of The Domain Group by managing all aspects of the Operations Department related to estimating, negotiating, and producing jobs for clients, ensuring that these functions are executed on the proper schedule with the proper quality at the proper cost.  Responsibilities: The Production Director will: 1. Work in cooperation with the Job Systems and Operations Manager to create systems, processes, and procedures to assure that the production of jobs is cost effective while being sensitive to client demands, especially regarding schedules and costs.  2. Supervise and coordinate the production managers assuring that there is the proper capacity to execute client and corporate jobs in a timely and cost effective manner; that those jobs, including estimates, are done in the least amount of time possible, with little or no errors with the proper quality and the lowest possible price while maintaining the agreed-upon schedule.  3. work in cooperation with the Job Systems and operations Manager and the Director Client Services to make sure client service systems, processes and human resource management are supporting the iob production process to the satisfaction of the client.  4. uncover new and innovative production techniques, methods and processes to improve the way the agency produces jobs for clients.  This involves uncovering new ways to package messages using the latest production and manufacturing techniques and processes available.  5. In cooperation with the Job Systems and Operations manager, increase the number of vendors used and negotiate discounts or rebates based on volume of work and payment terms.  6. Perform other Production administrative duties as requested."	[primary purpose: to support the marketing, sales, and fund raising objectives for clients of the domain group by managing all aspects of the operations department related to estimating, negotiating, and producing jobs for clients, ensuring that these functions are executed on the proper schedule with the proper quality at the proper cost.  responsibilities: the production director will: 1. work in cooperation with the job systems and operations manager to create systems, processes, and procedures to assure that the production of jobs is cost effective while being sensitive to client demands, especially regarding schedules and costs.  2. supervise and coordinate the production managers assuring that there is the proper capacity to execute client and corporate jobs in a timely and cost effective manner; that those jobs, including estimates, are done in the least amount of time possible, with little, no errors with the proper quality and the lowest possible price while maintaining the agreed-upon schedule.  3. work in cooperation with the job systems and operations manager and the director client services to make sure client service systems, processes and human resource management are supporting the iob production process to the satisfaction of the client.  4. uncover new and innovative production techniques, methods and processes to improve the way the agency produces jobs for clients.  this involves uncovering new ways to package messages using the latest production and manufacturing techniques and processes available.  5. in cooperation with the job systems and operations manager, increase the number of vendors used and negotiate discounts, rebates based on volume of work and payment terms.  6. perform other production administrative duties as requested.]	[11]	[11]	11.17	Director of Operations	0.31962565	1	0	Director of Operations
v2	Chief Information Officer	"Founded in 1994 our client gathers financial, economic, and political news and information from emerging markets in Europe, Latin America and Asia and delivers the data via the Internet to users/analysts worldwide. Through this subscription-based service, users access a comprehensive range of information derived directly from over 600 leading sources (newspapers, bureaus, government agencies, stock exchanges etc). Users include professionals at financial institutions, global blue chip corporations, and international governmental operations. The company employs nearly 200 people worldwide; they are a pre-IPO firm with significant financial backing.  This position reports to the COO in Boston and will be primarily responsible for leading their Internet Software Product Development efforts (Oracle, Unix, Perl). They will manage a direct staff of 30 software developers located in Boston, Europe and Latin America as well as a Senior DB Specialist and several Production Control Specialists. Indirectly they will have responsibility for another 30+ Systems Administrators/Perl Scripters worldwide. Currently user departments handle their own information systems and IT provides the infrastructure support."	[founded in 1994 our client gathers financial, economic, and political news and information from emerging markets in europe, latin america and asia and delivers the data via the internet to users/analysts worldwide. through this subscription-based service, users access a comprehensive range of information derived directly from over 600 leading sources (newspapers, bureaus, government agencies, stock exchanges etc). users include professionals at financial institutions, global blue chip corporations, and international governmental operations. the company employs nearly 200 people worldwide; they are a pre-ipo firm with significant financial backing.  this position reports to the coo in boston and will be primarily responsible for leading their internet software product development efforts (oracle, unix, perl). they will manage a direct staff of 30 software developers located in boston, europe and latin america as well as a senior db specialist and several production control specialists. indirectly they will have responsibility for another 30+ systems administrators/perl scripters worldwide. currently user departments handle their own information systems and it provides the infrastructure support.]	[11]	[11]	11.12	Vice President	0.51733327	1	0	"""Chief Information Officer"""
v2	Construction Project Manager	"The ideal candidate with have at least 3 years experience as a Construction Project Manager working with institutional or government facilities.  This candidate should have at least 5 years experience in the Construction Industry and experience on the General Contractor side of the house.  This person is needed to work on Post Office, Universities and Airport Facilities.    **Currently Not Considering Candidates That Need Sponsorship**"	[the ideal candidate with have at least 3 years experience as a construction project manager working with institutional, government facilities.  this candidate should have at least 5 years experience in the construction industry and experience on the general contractor side of the house.  this person is needed to work on post office, universities and airport facilities.    **currently not considering candidates that need sponsorship**]	[11, 47]	[47]	47.156	Assistant Construction Project Manager	1.0	1	0	Assistant Construction Project Manager OR Project Manager OR Construction Manager
v2	Finance Manager	"The FINANCE MANAGER will provide financial leadership in the DC/Baltimore markets of NEXTLINK's Northeast Region, including ICB pricing analysis, on-net building business cases, monthly outlook process, annual business plans, monthly variance analysis and operations review preparations."	[the finance manager will provide financial leadership in the dc/baltimore markets of nextlink's northeast region, including icb pricing analysis, on-net building business cases, monthly outlook process, annual business plans, monthly variance analysis and operations review preparations.]	[11, 13]	[11]	11.20	Finance Manager	1.0	1	1	Finance Manager OR Financial Services Manager
v2	Regional Manager - MA	"** Please read through the entire ad and review the website link before submitting your resume.  Only serious inquiries from qualified individuals will be considered. This is not MLM **  Position: Regional Manager - Protected Territory  The Company:  IGM is a new presence on the web; an enormously well funded internet project.  We have the capability to take the internet to its next logical level by combining traditional person-to-person marketing and sales with state-of-the-art computer and communications technology.  We have built a membership-based wholesale internet marketing mall, offering ""one stop wholesale shopping"" with goods and services such as computers, home goods, gifts, cars, food products, toys, clothing, novelties, financial services, satellite services, etc. In other words, everything you would find at a sprawling strip mall, plus thousands more features, all provided at great discounts to our members.   Responsibilities:  We are seeking a Regional Manager - a marketing entrepreneur with enough ""horsepower"" to recruit, develop train and maintain 25-50 strong local sales people within 6 months.  Territories are protected; an average of one manager for every 3.5 million people.  Training and support will be provided to help you with your efforts.   Compensation:  We do not offer a base salary; we offer an extremely rewarding production-based compensation plan, with a profitable internet company backed by over 500 million dollars in assets.  The manager's compensation package consists of a percentage of region's sales, including all memberships and product purchases, merchant store sign-ups, renewals on repeat business, and company equity upon our IPO.  Review the website link provided following this ad for additional compensation information. ."	[** please read through the entire ad and review the website link before submitting your resume.  only serious inquiries from qualified individuals will be considered. this is not mlm **  position: regional manager - protected territory  the company:  igm is a new presence on the web; an enormously well funded internet project.  we have the capability to take the internet to its next logical level by combining traditional person-to-person marketing and sales with state-of-the-art computer and communications technology.  we have built a membership-based wholesale internet marketing mall, offering one stop wholesale shopping with goods and services such as computers, home goods, gifts, cars, food products, toys, clothing, novelties, financial services, satellite services, etc. in other words, everything you would find at a sprawling strip mall, plus thousands more features, all provided at great discounts to our members.   responsibilities:  we are seeking a regional manager - a marketing entrepreneur with enough horsepower to recruit, develop train and maintain 25-50 strong local sales people within 6 months.  territories are protected; an average of one manager for every 3.5 million people.  training and support will be provided to help you with your efforts.   compensation:  we do not offer a base salary; we offer an extremely rewarding production-based compensation plan, with a profitable internet company backed by over 500 million dollars in assets.  the manager's compensation package consists of a percentage of region's sales, including all memberships and product purchases, merchant store sign-ups, renewals on repeat business, and company equity upon our ipo.  review the website link provided following this ad for additional compensation information. .]	[11, 41]	[11]	11.31376	Regional Service Manager	0.8104126	1	0	Regional Service Manager or Sales Manager
v2	Regional Manager - AZ	"** Please read through the entire ad and review the website link before submitting your resume.  Only serious inquiries from qualified individuals will be considered. This is not MLM **  Position: Regional Manager - Protected Territory  The Company:  IGM is a new presence on the web; an enormously well funded internet project.  We have the capability to take the internet to its next logical level by combining traditional person-to-person marketing and sales with state-of-the-art computer and communications technology.  We have built a membership-based wholesale internet marketing mall, offering ""one stop wholesale shopping"" with goods and services such as computers, home goods, gifts, cars, food products, toys, clothing, novelties, financial services, satellite services, etc. In other words, everything you would find at a sprawling strip mall, plus thousands more features, all provided at great discounts to our members.   Responsibilities:  We are seeking a Regional Manager - a marketing entrepreneur with enough ""horsepower"" to recruit, develop train and maintain 25-50 strong local sales people within 6 months.  Territories are protected; an average of one manager for every 3.5 million people.  Training and support will be provided to help you with your efforts.   Compensation:  We do not offer a base salary; we offer an extremely rewarding production-based compensation plan, with a profitable internet company backed by over 500 million dollars in assets.  The manager's compensation package consists of a percentage of region's sales, including all memberships and product purchases, merchant store sign-ups, renewals on repeat business, and company equity upon our IPO.  Review the website link provided following this ad for additional compensation information. ."	[** please read through the entire ad and review the website link before submitting your resume.  only serious inquiries from qualified individuals will be considered. this is not mlm **  position: regional manager - protected territory  the company:  igm is a new presence on the web; an enormously well funded internet project.  we have the capability to take the internet to its next logical level by combining traditional person-to-person marketing and sales with state-of-the-art computer and communications technology.  we have built a membership-based wholesale internet marketing mall, offering one stop wholesale shopping with goods and services such as computers, home goods, gifts, cars, food products, toys, clothing, novelties, financial services, satellite services, etc. in other words, everything you would find at a sprawling strip mall, plus thousands more features, all provided at great discounts to our members.   responsibilities:  we are seeking a regional manager - a marketing entrepreneur with enough horsepower to recruit, develop train and maintain 25-50 strong local sales people within 6 months.  territories are protected; an average of one manager for every 3.5 million people.  training and support will be provided to help you with your efforts.   compensation:  we do not offer a base salary; we offer an extremely rewarding production-based compensation plan, with a profitable internet company backed by over 500 million dollars in assets.  the manager's compensation package consists of a percentage of region's sales, including all memberships and product purchases, merchant store sign-ups, renewals on repeat business, and company equity upon our ipo.  review the website link provided following this ad for additional compensation information. .]	[11, 41]	[11]	11.31376	Regional Service Manager	0.8104126	1	0	Regional Service Manager or Sales Manager
v2	Marketing Program Manager	"TTC is leveraging its vast product, services, knowledge and experience assets to help the communications industry optimize network performance and achieve significant operating efficiencies.  Our emphasis on open communications, employee development and technical excellence makes us an exciting place to work and a source of highly rewarding careers.  Headquartered near Washington, D.C., in Germantown, Md., TTC has offices and distributors worldwide.  The Marketing Program Manager is responsible for developing and maintaining a consultative relationship with business units and product marketing management. This includes obtaining and providing input for strategic planning, co-developing business plans and advising business units on marketing opportunities.  Manage and facilitate growth opportunities for Marketing Writers."	[ttc is leveraging its vast product, services, knowledge and experience assets to help the communications industry optimize network performance and achieve significant operating efficiencies.  our emphasis on open communications, employee development and technical excellence makes us an exciting place to work and a source of highly rewarding careers.  headquartered near washington, d.c., in germantown, md., ttc has offices and distributors worldwide.  the marketing program manager is responsible for developing and maintaining a consultative relationship with business units and product marketing management. this includes obtaining and providing input for strategic planning, co-developing business plans and advising business units on marketing opportunities.  manage and facilitate growth opportunities for marketing writers.]	[11, 13]	[11]	11.7	Program Manager	0.5	1	0	Marketing Manager
v2	Human Resources Manager	"HR Generalist for 500-600 employees and their managers at a union manufacturing location. Assists Spokesperson and negotiator.   Will provide recruitment, W&S, benefits, legal, communications, etc and coordinate with other departmemts, provide support services, talk to and/or coordinate other employees.  Multiple opportunities in many other locations across the US."	[hr generalist for 500-600 employees and their managers at a union manufacturing location. assists spokesperson and negotiator.   will provide recruitment, w&s, benefits, legal, communications, etc and coordinate with other departmemts, provide support services, talk to and/or coordinate other employees.  multiple opportunities in many other locations across the us.]	[11, 13]	[11]	11.11	Human Resources (HR) Manager	1.0	1	0	Human Resources (HR) Manager
v2	VP of  Marketing	"“Millions of people use _____.com.”  Making that statement a reality for this company is your opportunity to lead the marketing life cycle of a revolutionary Internet-based support service.  Your achievements as an innovative, seasoned professional have placed you at the top of your profession.  As a proven marketing pro, you will be responsible for the look, feel, distribution and positioning of the company.  Broad industry knowledge and contacts will allow you to effectively build and manage your team. You should have 1-15 years of industry experience with demonstrable success in positioning and bringing complex consumer products to market with a strong brand identity.  Your abilities should include the following: -competitive analysis -user research -market research -product trend analysis -product management -positioning and branding -collateral production -media planning -direct marketing -evangelism and PR -customer service  The company’s marketing strategy makes heavy use of vertical marketing and the pioneering business model is dependent upon proper market positioning and flawless execution of a strategic marketing plan.  It will be your responsibility to ensure a continually growing customer base and to build a strong consumer brand.  Location:  Santa Barbara, CA Please send resume, preferably in the form of a Word document attachment, to Jennifer Veblen:"	[“millions of people use _____.com.”  making that statement a reality for this company is your opportunity to lead the marketing life cycle of a revolutionary internet-based support service.  your achievements as an innovative, seasoned professional have placed you at the top of your profession.  as a proven marketing pro, you will be responsible for the look, feel, distribution and positioning of the company.  broad industry knowledge and contacts will allow you to effectively build and manage your team. you should have 1-15 years of industry experience with demonstrable success in positioning and bringing complex consumer products to market with a strong brand identity.  your abilities should include the following: -competitive analysis -user research -market research -product trend analysis -product management -positioning and branding -collateral production -media planning -direct marketing -evangelism and pr -customer service  the company’s marketing strategy makes heavy use of vertical marketing and the pioneering business model is dependent upon proper market positioning and flawless execution of a strategic marketing plan.  it will be your responsibility to ensure a continually growing customer base and to build a strong consumer brand.  location:  santa barbara, ca please send resume, preferably in the form of a word document attachment, to jennifer veblen:]	[11, 19]	[11]	11.196	Vice President (VP) of Marketing	1.0	1	0	Vice President (VP) of Marketing
