File Name	Original Title	Exptected Title	Carotene Expected Title	Expected SOCs	Carotene Socs	Carotene ID	Carotene Title	Confidence	In SOCs	Title Match	Description
v2	Regional Sales Director-West	Sales Director	[sales director]	[11, 41]	[11, 41]	11.21	Sales Director	0.7874582	1	1	"THE COMPANY Established Midwest based manufacturer of motorized recreational products sold worldwide. Market through dealers responsible for sales and service. Largest customer, dealer and unit population in the industry.  Fast tracking development of new products and implementation of major enhancements to existing products. Positioning for growth has created need for additional management and field staffing. Great benefits package, including management bonus plan, employee purchase discounts and a full relocation package."
v2	Territory Manager	Territory Manager	[territory manager]	[11, 41]	[11, 41]	11.57	Territory Manager	1.0	1	1	"In order to get a quicker response refer to # 1980-HH-SCM-a in the subject are of your email  A HIGH GROWTH Pre-IPO company that is set to go public within 12 to 16 months  - they have an ""Early-to-Market"" advantage to address THE Hottest topic in the LAN/WAN sector.....BANDWITH MANAGEMENT - being able to provide the most robust bandwidth management solutions on the market has got to be one of those great opportunities that are not as prevelant as years prior - You will be responsible for the cultivating of new business - primary selling activity will be to the Fortune 1000 companies and the Government - through network integrators and the resellers."
v2	Production Director	Director of Operations	[director of operations]	[11]	[27, 11]	27.31161	Director of Talent Management	0.94448245	1	0	"Primary Purpose: To support the marketing, sales, and fund raising objectives for clients of The Domain Group by managing all aspects of the Operations Department related to estimating, negotiating, and producing jobs for clients, ensuring that these functions are executed on the proper schedule with the proper quality at the proper cost.  Responsibilities: The Production Director will: 1. Work in cooperation with the Job Systems and Operations Manager to create systems, processes, and procedures to assure that the production of jobs is cost effective while being sensitive to client demands, especially regarding schedules and costs.  2. Supervise and coordinate the production managers assuring that there is the proper capacity to execute client and corporate jobs in a timely and cost effective manner; that those jobs, including estimates, are done in the least amount of time possible, with little or no errors with the proper quality and the lowest possible price while maintaining the agreed-upon schedule.  3. work in cooperation with the Job Systems and operations Manager and the Director Client Services to make sure client service systems, processes and human resource management are supporting the iob production process to the satisfaction of the client.  4. uncover new and innovative production techniques, methods and processes to improve the way the agency produces jobs for clients.  This involves uncovering new ways to package messages using the latest production and manufacturing techniques and processes available.  5. In cooperation with the Job Systems and Operations manager, increase the number of vendors used and negotiate discounts or rebates based on volume of work and payment terms.  6. Perform other Production administrative duties as requested."
v2	Chief Information Officer	"""Chief Information Officer"""	[chief information officer]	[11]	[11, 33]	11.12	Vice President	0.7436903	1	0	"Founded in 1994 our client gathers financial, economic, and political news and information from emerging markets in Europe, Latin America and Asia and delivers the data via the Internet to users/analysts worldwide. Through this subscription-based service, users access a comprehensive range of information derived directly from over 600 leading sources (newspapers, bureaus, government agencies, stock exchanges etc). Users include professionals at financial institutions, global blue chip corporations, and international governmental operations. The company employs nearly 200 people worldwide; they are a pre-IPO firm with significant financial backing.  This position reports to the COO in Boston and will be primarily responsible for leading their Internet Software Product Development efforts (Oracle, Unix, Perl). They will manage a direct staff of 30 software developers located in Boston, Europe and Latin America as well as a Senior DB Specialist and several Production Control Specialists. Indirectly they will have responsibility for another 30+ Systems Administrators/Perl Scripters worldwide. Currently user departments handle their own information systems and IT provides the infrastructure support."
v2	Construction Project Manager	Assistant Construction Project Manager OR Project Manager OR Construction Manager	[assistant construction project manager, project manager, construction manager]	[11, 47]	[47, 11]	47.156	Assistant Construction Project Manager	1.0	1	1	"The ideal candidate with have at least 3 years experience as a Construction Project Manager working with institutional or government facilities.  This candidate should have at least 5 years experience in the Construction Industry and experience on the General Contractor side of the house.  This person is needed to work on Post Office, Universities and Airport Facilities.    **Currently Not Considering Candidates That Need Sponsorship**"
v2	Finance Manager	Finance Manager OR Financial Services Manager	[finance manager, financial services manager]	[11, 13]	[11, 19]	11.20	Finance Manager	0.9999454	1	1	"The FINANCE MANAGER will provide financial leadership in the DC/Baltimore markets of NEXTLINK's Northeast Region, including ICB pricing analysis, on-net building business cases, monthly outlook process, annual business plans, monthly variance analysis and operations review preparations."
v2	Regional Manager - MA	Regional Service Manager or Sales Manager	[regional service manager, sales manager]	[11, 41]	[43, 11]	43.14	Office Manager	0.9274821	1	0	"** Please read through the entire ad and review the website link before submitting your resume.  Only serious inquiries from qualified individuals will be considered. This is not MLM **  Position: Regional Manager - Protected Territory  The Company:  IGM is a new presence on the web; an enormously well funded internet project.  We have the capability to take the internet to its next logical level by combining traditional person-to-person marketing and sales with state-of-the-art computer and communications technology.  We have built a membership-based wholesale internet marketing mall, offering ""one stop wholesale shopping"" with goods and services such as computers, home goods, gifts, cars, food products, toys, clothing, novelties, financial services, satellite services, etc. In other words, everything you would find at a sprawling strip mall, plus thousands more features, all provided at great discounts to our members.   Responsibilities:  We are seeking a Regional Manager - a marketing entrepreneur with enough ""horsepower"" to recruit, develop train and maintain 25-50 strong local sales people within 6 months.  Territories are protected; an average of one manager for every 3.5 million people.  Training and support will be provided to help you with your efforts.   Compensation:  We do not offer a base salary; we offer an extremely rewarding production-based compensation plan, with a profitable internet company backed by over 500 million dollars in assets.  The manager's compensation package consists of a percentage of region's sales, including all memberships and product purchases, merchant store sign-ups, renewals on repeat business, and company equity upon our IPO.  Review the website link provided following this ad for additional compensation information. ."
v2	Regional Manager - AZ	Regional Service Manager or Sales Manager	[regional service manager, sales manager]	[11, 41]	[11, 53]	11.31376	Regional Service Manager	0.6912385	1	1	"** Please read through the entire ad and review the website link before submitting your resume.  Only serious inquiries from qualified individuals will be considered. This is not MLM **  Position: Regional Manager - Protected Territory  The Company:  IGM is a new presence on the web; an enormously well funded internet project.  We have the capability to take the internet to its next logical level by combining traditional person-to-person marketing and sales with state-of-the-art computer and communications technology.  We have built a membership-based wholesale internet marketing mall, offering ""one stop wholesale shopping"" with goods and services such as computers, home goods, gifts, cars, food products, toys, clothing, novelties, financial services, satellite services, etc. In other words, everything you would find at a sprawling strip mall, plus thousands more features, all provided at great discounts to our members.   Responsibilities:  We are seeking a Regional Manager - a marketing entrepreneur with enough ""horsepower"" to recruit, develop train and maintain 25-50 strong local sales people within 6 months.  Territories are protected; an average of one manager for every 3.5 million people.  Training and support will be provided to help you with your efforts.   Compensation:  We do not offer a base salary; we offer an extremely rewarding production-based compensation plan, with a profitable internet company backed by over 500 million dollars in assets.  The manager's compensation package consists of a percentage of region's sales, including all memberships and product purchases, merchant store sign-ups, renewals on repeat business, and company equity upon our IPO.  Review the website link provided following this ad for additional compensation information. ."
v2	Marketing Program Manager	Marketing Manager	[marketing manager]	[11, 13]	[11, 19]	11.7	Program Manager	0.75	1	0	"TTC is leveraging its vast product, services, knowledge and experience assets to help the communications industry optimize network performance and achieve significant operating efficiencies.  Our emphasis on open communications, employee development and technical excellence makes us an exciting place to work and a source of highly rewarding careers.  Headquartered near Washington, D.C., in Germantown, Md., TTC has offices and distributors worldwide.  The Marketing Program Manager is responsible for developing and maintaining a consultative relationship with business units and product marketing management. This includes obtaining and providing input for strategic planning, co-developing business plans and advising business units on marketing opportunities.  Manage and facilitate growth opportunities for Marketing Writers."
v2	Human Resources Manager	Human Resources (HR) Manager	[human resources (hr) manager]	[11, 13]	[11, 13]	11.11	Human Resources (HR) Manager	0.7783638	1	1	"HR Generalist for 500-600 employees and their managers at a union manufacturing location. Assists Spokesperson and negotiator.   Will provide recruitment, W&S, benefits, legal, communications, etc and coordinate with other departmemts, provide support services, talk to and/or coordinate other employees.  Multiple opportunities in many other locations across the US."
