File Name	Original Title	Exptected Title	Carotene Expected Title	Expected SOCs	Carotene Socs	Carotene ID	Carotene Title	Confidence	In SOCs	Title Match	Description
v2	Regional Sales Director-West	Sales Director	[sales director]	[11, 41]	[11]	11.21	Sales Director	0.57246995	1	1	
v2	Territory Manager	Territory Manager	[territory manager]	[11, 41]	[11]	11.57	Territory Manager	1.0	1	1	
v2	Production Director	Director of Operations	[director of operations]	[11]	[27]	27.12	Production Artist	1.0	0	0	
v2	Chief Information Officer	"""Chief Information Officer"""	[chief information officer]	[11]	[11]	11.12	Vice President	0.542213	1	0	
v2	Construction Project Manager	Assistant Construction Project Manager OR Project Manager OR Construction Manager	[assistant construction project manager, project manager, construction manager]	[11, 47]	[47]	47.156	Assistant Construction Project Manager	1.0	1	1	
v2	Finance Manager	Finance Manager OR Financial Services Manager	[finance manager, financial services manager]	[11, 13]	[11]	11.20	Finance Manager	1.0	1	1	
v2	Regional Manager - MA	Regional Service Manager or Sales Manager	[regional service manager, sales manager]	[11, 41]	[11]	11.31376	Regional Service Manager	0.41199753	1	1	
v2	Regional Manager - AZ	Regional Service Manager or Sales Manager	[regional service manager, sales manager]	[11, 41]	[11]	11.31376	Regional Service Manager	0.38404995	1	1	
v2	Marketing Program Manager	Marketing Manager	[marketing manager]	[11, 13]	[11]	11.7	Program Manager	0.5	1	0	
v2	Human Resources Manager	Human Resources (HR) Manager	[human resources (hr) manager]	[11, 13]	[11]	11.11	Human Resources (HR) Manager	1.0	1	1	
v2	VP of  Marketing	Vice President (VP) of Marketing	[vice president (vp) of marketing]	[11, 19]	[11]	11.196	Vice President (VP) of Marketing	1.0	1	1	
v2	Director of Business Development	Business Development Director	[business development director]	[11]	[11]	11.48	Business Development Director	1.0	1	1	
v2	Director of OR	"Medical Director OR Clinical Director OR ""Director of Operating Room (OR)"""	[medical director, clinical director, director of operating room (or)]	[11, 29]	[11]	11.15	Director of Nursing	0.4	1	0	
v2	Medical Director	Medical Director	[medical director]	[11, 29]	[11]	11.27	Medical Director	1.0	1	1	
v2	Clinical Nurse Specialist	Clinical Nurse	[clinical nurse]	[11, 29]	[11]	11.33	Nurse Manager	0.3338295	1	0	
