Original SOC,Original Title,Carotene ID,Carotene Title,Confidence,SOC Match,gLabel Match,Final Match
11,"Sales Manager",11.0,"Sales Manager",1.0,1,1,1
11,"Project Manager",15.1,"Project Manager",1.0,0,1,0
11,"General Manager",11.2,"General Manager",1.0,1,1,1
11,"Restaurant Manager",35.0,"Restaurant Manager",1.0,0,1,0
11,"Account Manager",11.4,"Account Manager",1.0,1,1,1
11,"Marketing Manager",11.5,"Marketing Manager",1.0,1,1,1
11,"Product Manager",11.6,"Product Manager",1.0,1,1,1
11,"Program Manager",11.7,"Program Manager",1.0,1,1,1
11,"Operations Manager",11.8,"Operations Manager",1.0,1,1,1
11,"Branch Manager",11.9,"Branch Manager",1.0,1,1,1
11,"District Manager",11.10,"District Manager",1.0,1,1,1
11,"Human Resources (HR) Manager",11.11,"Human Resources (HR) Manager",0.7817839,1,1,1
11,"Vice President",11.12,"Vice President",1.0,1,1,1
11,"Business Development Manager",11.13,"Business Development Manager",1.0,1,1,1
11,"Sales Executive",41.31079,"Advertising Sales Executive",1.0,0,0,0
11,"Director of Nursing",11.15,"Director of Nursing",1.0,1,1,1
11,"Human Resources (HR) Generalist",11.16,"Human Resources (HR) Generalist",1.0,1,1,1
11,"Director of Operations",11.17,"Director of Operations",1.0,1,1,1
11,"Store Manager",41.67,"Sales Manager",0.4755116,0,0,0
11,"Property Manager",11.19,"Property Manager",1.0,1,1,1
11,"Finance Manager",11.20,"Finance Manager",1.0,1,1,1
11,"Sales Director",11.21,"Sales Director",1.0,1,1,1
11,"Relationship Manager",11.22,"Relationship Manager",1.0,1,1,1
11,"Clinical Manager",11.23,"Clinical Manager",1.0,1,1,1
11,"Marketing Director",11.24,"Marketing Director",1.0,1,1,1
11,"Executive Director",11.25,"Executive Director",1.0,1,1,1
11,"Engineering Manager",11.26,"Engineering Manager",1.0,1,1,1
11,"Medical Director",11.27,"Medical Director",1.0,1,1,1
11,"Assistant Director",11.28,"Assistant Director",1.0,1,1,1
11,"Community Manager",11.29,"Community Manager",1.0,1,1,1
11,"Construction Manager",47.13,"Construction Supervisor",0.82608694,0,0,0
11,"Risk Manager",11.31,"Risk Manager",1.0,1,1,1
11,"Practice Manager",11.32,"Practice Manager",1.0,1,1,1
11,"Nurse Manager",11.33,"Nurse Manager",1.0,1,1,1
11,"Director of Product Development",11.34,"Director of Product Development",1.0,1,1,1
11,"Training Manager",11.35,"Training Manager",1.0,1,1,1
11,"Chief Financial Officer (CFO)",11.36,"Chief Financial Officer (CFO)",1.0,1,1,1
11,"Clinical Research Coordinator",11.38,"Clinical Research Coordinator",1.0,1,1,1
11,"Contract Manager",11.39,"Contract Manager",1.0,1,1,1
11,"Audit Manager",11.40,"Audit Manager",1.0,1,1,1
11,"Office Manager",43.14,"Office Manager",1.0,0,1,0
11,"Director of Finance",11.42,"Director of Finance",1.0,1,1,1
11,"Credit Manager",11.43,"Credit Manager",1.0,1,1,1
11,"Compliance Manager",11.44,"Compliance Manager",1.0,1,1,1
11,"Project Coordinator",15.29,"IT Project Coordinator",1.0,0,0,0
11,"Quality Assurance (QA) Manager",17.0,"Quality Assurance Engineer",1.0,0,0,0
11,"Supply Chain Manager",11.47,"Supply Chain Manager",1.0,1,1,1
11,"Business Development Director",11.48,"Business Development Director",1.0,1,1,1
11,"Human Resources (HR) Director",11.49,"Human Resources (HR) Director",1.0,1,1,1
11,"Purchasing Manager",11.50,"Purchasing Manager",1.0,1,1,1
11,"Account Director",11.51,"Account Director",1.0,1,1,1
11,"Business Development Executive",11.52,"Business Development Executive",1.0,1,1,1
11,"College President",11.53,"College President",1.0,1,1,1
11,"Health Services Director",11.54,"Health Services Director",1.0,1,1,1
11,"Communications Manager",11.55,"Communications Manager",1.0,1,1,1
11,"Inventory Manager",11.56,"Inventory Manager",1.0,1,1,1
11,"Territory Manager",11.57,"Territory Manager",1.0,1,1,1
11,"Tax Manager",11.58,"Tax Manager",1.0,1,1,1
11,"Acquisitions Manager",11.59,"Acquisitions Manager",1.0,1,1,1
11,"Warehouse Manager",53.22,"Warehouse Manager",1.0,0,1,0
11,"Merchandise Manager",11.62,"Merchandise Manager",1.0,1,1,1
11,"Logistics Manager",11.63,"Logistics Manager",1.0,1,1,1
11,"Clinical Research Associate (CRA)",11.64,"Clinical Research Associate (CRA)",1.0,1,1,1
11,"Director of Admissions",11.65,"Director of Admissions",1.0,1,1,1
11,"Loan Administration Manager",11.66,"Loan Administration Manager",1.0,1,1,1
11,"Plant Manager",51.34,"Plant Operator",0.36842108,0,0,0
11,"Brand Manager",11.68,"Brand Manager",1.0,1,1,1
11,"Human Resources (HR) Business Partner",11.69,"Human Resources (HR) Business Partner",1.0,1,1,1
11,"Systems Manager",11.70,"Systems Manager",1.0,1,1,1
11,"Procurement Manager",11.71,"Procurement Manager",1.0,1,1,1
11,"Nursing Home Administrator",11.72,"Nursing Home Administrator",1.0,1,1,1
11,"Category Manager",11.73,"Category Manager",1.0,1,1,1
11,"Sourcing Manager",11.74,"Sourcing Manager",1.0,1,1,1
11,"Director of Rehabilitation",11.75,"Director of Rehabilitation",1.0,1,1,1
11,"Financial Center Manager",11.76,"Financial Center Manager",1.0,1,1,1
11,"Portfolio Manager",11.77,"Portfolio Manager",1.0,1,1,1
11,"Financial Reporting Manager",11.78,"Financial Reporting Manager",1.0,1,1,1
11,"Asset Manager",11.80,"Asset Manager",1.0,1,1,1
11,"Collections Manager",11.82,"Collections Manager",1.0,1,1,1
11,"Materials Manager",11.83,"Materials Manager",1.0,1,1,1
11,"Benefits Manager",11.84,"Benefits Manager",1.0,1,1,1
11,"Manager of Financial Analysis and Planning",11.85,"Manager of Financial Analysis and Planning",1.0,1,1,1
11,"Staffing Manager",11.86,"Staffing Manager",1.0,1,1,1
11,"Care Manager",11.87,"Care Manager",1.0,1,1,1
11,"Chief Operating Officer (COO)",11.88,"Chief Operating Officer (COO)",1.0,1,1,1
11,"Recruiting Manager",11.89,"Recruiting Manager",1.0,1,1,1
11,"Director of Engineering",11.90,"Director of Engineering",1.0,1,1,1
11,"Residential Manager",21.7,"Case Manager",0.22315043,0,0,0
11,"Proposal Manager",11.94,"Proposal Manager",1.0,1,1,1
11,"Project Director",11.95,"Project Director",1.0,1,1,1
11,"Events Manager",11.96,"Events Manager",1.0,1,1,1
11,"Lending Manager",11.98,"Lending Manager",1.0,1,1,1
11,"Human Resources (HR) Leader",11.99,"Human Resources (HR) Leader",1.0,1,1,1
11,"Compliance Officer",13.186,"Banking Officer",0.3076923,0,0,0
11,"Treasury Manager",11.101,"Treasury Manager",1.0,1,1,1
11,"Compliance Director",11.102,"Compliance Director",1.0,1,1,1
11,"Director of Education",11.103,"Director of Education",1.0,1,1,1
