processing categories in: /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc11-categories.txt
Sales Executive	Advertising Sales Executive
Construction Manager	Construction Supervisor
Project Coordinator	IT Project Coordinator
Quality Assurance (QA) Manager	Quality Assurance (QA) Technician
Plant Manager	Plant Operator
Residential Manager	Case Manager
Compliance Officer	Banking Officer
Contracts Administrator	Trust Administrator
Laboratory Manager	Production Manager
Project Leader	Project Lead
Assistant Vice President (AVP)	Assistant to the Vice President
Maintenance Director	Maintenance Coordinator
Rehabilitation Manager	Director of Rehabilitation
Call Center Manager	Call Center Agent
Dietary Manager	Dietary Cook
Residence Director	Director of Career Services
Director of Analytics	Research Analyst
Academic Director	Library Director
Analytics Manager	Resource Manager
Facilities Manager	Maintenance Manager
Claims Manager	Claims Assistant
Grants Administrator	Trust Administrator
Store Director	Sales Director
Resource Leader	Production Leader
Medical Supervisor	Nurse Supervisor
Head of Operations	Operations Analyst
Distribution Group Leader	Production Leader
Agency Manager	Sales Manager
Subcontracts Administrator	Senior Buyer
Implementation Leader	Implementation Consultant
Cost Manager	Cost Accountant
Control Leader	Audit Leader
Continuous Improvement Leader	Continuous Improvement Engineer
Chief Engineer	Maintenance Assistant
Research Manager	Research Analyst
Mobility Manager	Warehouse Manager
Process Manager	Process Operator
Nurse Director	Registered Nurse
Field Service Manager	Field Service Engineer
Clinic Supervisor	Clinical Supervisor
Business Office Manager	Office Manager
Application Support Manager	IT Support Manager
Director of Research and Development	Director of Research
Value Manager	Training Manager
House Manager	Installation Manager
Data Analytics Manager	Resource Manager
Fraud Manager	Fraud Investigator
Business Analytics Manager	Resource Manager
Account Supervisor	Program Supervisor
Visual Manager	Sales Manager
Shop Manager	Fabricator
Program Supervisor	Clinical Supervisor
Operations Administrator	Office Administrator
Controller	Assistant Controller
Coding Manager	Medical Coding Manager
Nurse Manager Intensive Care Unit (ICU)	Intensive Care Unit (ICU) Nurse
soc11 Accuracy (%): 86.9120654397 (425/489)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc13-categories.txt
Entry Level Sales	Sales Representative
Financial Advisor Trainee	Financial Advisor
Services Manager	Client Services Manager
Contracts Manager	Contract Manager
Kronos Analyst	Business Analyst
Processing Manager	Processing Supervisor
Business Partner	Human Resources (HR) Business Partner
Claims Manager	Claims Assistant
Operations Support	Operations Support Representative
Inventory Analyst	Supply Chain Analyst
Assurance Manager	Risk and Assurance Manager
Broker	Sales Representative
Support Analyst	IT Support Analyst
Senior Planner	Transportation Planner
Planning Manager	Sales Manager
Pricing Analyst	Research Analyst
Financial Planning Analyst	Financial Analyst
Customer Service Analyst	Customer Service Representative
Auto Adjuster	Auto Body Painter
Lead Manager	Marketing Manager
Financial Services Manager	Director of Financial Services
Human Resources (HR) Consultant	Human Resources (HR) Generalist
Training Assistant	Administrative Assistant
Structural Analyst	Structural Engineer
Regional Analyst	Research Analyst
Marketing Strategist	Research Analyst
Management Liaison	Project Manager
Logistics Operator	Forklift Operator
Executive Consultant	Account Consultant
Analytics Leader	Principal Scientist
Strategic Planner	Programmer
Staff Analyst	Programmer Analyst
Sales Analyst	Assistant Analyst
Distribution Analyst	Research Analyst
Credit Officer	Credit Manager
Benefits Consultant	Training Consultant
Statistical Analyst	Research Analyst
soc13 Accuracy (%): 87.2549019608 (267/306)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc15-categories.txt
IT Manager	Information Technology (IT) Manager
IT Field Technician	Field Technician
Senior IT Consultant	Business Consultant
IT Support Manager	Manager of Applications
Process Analyst	Process Improvement Analyst
IT Field Engineer	Field Engineer
Reporting Analyst	Business Analyst
Release Manager	Project Manager
