processing categories in: /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc11-categories.txt
Sales Executive	Advertising Sales Executive
Store Manager	Sales Manager
Construction Manager	Construction Supervisor
Project Coordinator	IT Project Coordinator
Quality Assurance (QA) Manager	Quality Assurance Engineer
Plant Manager	Plant Operator
Residential Manager	Case Manager
Compliance Officer	Banking Officer
Contracts Administrator	Contract Analyst
Laboratory Manager	Production Manager
Project Leader	Project Lead
Assistant Vice President (AVP)	Assistant to the Vice President
Human Resources (HR) Administrator	Human Resources (HR) Generalist
Maintenance Director	Maintenance Coordinator
Rehabilitation Manager	Director of Rehabilitation
Call Center Manager	Call Center Agent
Dietary Manager	Dietary Cook
Residence Director	Director of Career Services
Director of Analytics	Research Analyst
Academic Director	Director of Education
Analytics Manager	Resource Manager
Facilities Manager	Maintenance Manager
Claims Manager	Claims Assistant
Grants Administrator	Trust Administrator
Store Director	Sales Director
Resource Leader	Production Leader
Product Line Manager	Product Manager
Medical Supervisor	Nurse Supervisor
Head of Operations	Operations Analyst
Distribution Group Leader	Production Leader
Agency Manager	Sales Manager
Subcontracts Administrator	Senior Buyer
Implementation Leader	Implementation Consultant
Cost Manager	Cost Estimator
Control Leader	Audit Leader
Continuous Improvement Leader	Continuous Improvement Engineer
Chief Engineer	Maintenance Assistant
Research Manager	Research Analyst
Mobility Manager	Warehouse Manager
Process Manager	Process Operator
Nurse Director	Registered Nurse
Field Service Manager	Maintenance Manager
Clinic Supervisor	Clinical Supervisor
Business Office Manager	Office Manager
Application Support Manager	IT Support Manager
Director of Research and Development	Director of Research
Value Manager	Contract Analyst
House Manager	Installation Manager
Data Analytics Manager	Research Analyst
Fraud Manager	Fraud Investigator
Business Analytics Manager	Resource Manager
Account Supervisor	Program Supervisor
Visual Manager	Sales Manager
Shop Manager	Fabricator
Program Supervisor	Clinical Supervisor
Operations Administrator	Office Administrator
Controller	Assistant Controller
Coding Manager	Medical Coding Manager
Nurse Manager Intensive Care Unit (ICU)	Intensive Care Unit (ICU) Nurse
Accuracy (%): 86.2985685072 (422/489)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc13-categories.txt
Entry Level Sales	Sales Representative
Financial Advisor Trainee	Financial Advisor
Services Manager	Client Services Manager
Contracts Manager	Contract Manager
Kronos Analyst	Business Analyst
Processing Manager	Processing Supervisor
Business Partner	Human Resources (HR) Business Partner
Claims Manager	Claims Assistant
Operations Support	Operations Support Representative
Inventory Analyst	Supply Chain Analyst
Quantitative Analyst	Credit Analyst
Assurance Manager	Risk and Assurance Manager
Broker	Sales Representative
Logistics Support Manager	Logistics Manager
Support Analyst	IT Support Analyst
Senior Planner	Transportation Planner
Planning Manager	Product Manager
Pricing Analyst	Research Analyst
Financial Planning Analyst	Financial Analyst
Customer Service Analyst	Customer Service Representative
Auto Adjuster	Maintenance Machinist
Lead Manager	Marketing Manager
Financial Services Manager	Patient Services Manager
Human Resource Analyst	Human Resources Analyst
Human Resources (HR) Consultant	Human Resources (HR) Generalist
Training Assistant	Administrative Assistant
Structural Analyst	Structural Engineer
Regional Analyst	Clinical Research Associate (CRA)
Marketing Strategist	Research Analyst
Management Liaison	Project Manager
Logistics Operator	Forklift Operator
Executive Consultant	Account Consultant
Analytics Leader	Principal Scientist
Strategic Planner	Programmer
Staff Analyst	Programmer Analyst
Sales Analyst	Assistant Analyst
Distribution Analyst	Research Analyst
Credit Officer	Credit Manager
Benefits Consultant	Training Consultant
Statistical Analyst	Research Analyst
Accuracy (%): 86.2745098039 (264/306)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc15-categories.txt
IT Network Administrator	IT System Administrator
IT Manager	Information Technology (IT) Manager
IT Field Technician	Field Technician
Senior IT Consultant	Business Consultant
IT Support Manager	Manager of Applications
Process Analyst	Business Analyst
IT Field Engineer	Field Engineer
Information Security Architect	Information Architect
Reporting Analyst	Business Analyst
Release Manager	Project Manager
IT Subject Matter Expert	Logistics Support Manager
Delivery Manager	Program Manager
Senior Technician	Engineering Technician
Database Report Writer	Reports Writer
Performance Analyst	Business Analyst
Quantitative Developer	C Developer
Operations Lead	Warehouse Lead
Client Services Analyst	Services Manager
Project Controls Analyst	Project Analyst
Data Consultant	Healthcare Consultant
Solutions Manager	Logistics Manager
Analytics Manager	Resource Manager
Manager - IT Change Management	Training Manager
QA Specialist	Quality Control Specialist
IT Operations Specialist	Operations Analyst
Integration Manager	Systems Integration Manager
IT Support Administrator	Support Administrator
Business Intelligence Analyst	Business Analyst
Technologist	Engineering Technologist
Senior Quality Assurance Engineer	Quality Assurance Engineer
Software Specialist	Collections Specialist
Solutions Analyst	Business Analyst
Requirements Management Analyst	Change Management Analyst
Engineer Technician	Operations Technician
Product Analyst	Research Analyst
IT Operations Administrator	Administrative Assistant
SAS Analyst	Research Analyst
Business Intelligence Consultant	Business Consultant
Integration Technician	Aircraft Technician
Coding Analyst	Clinical Analyst
C# Developer	C Developer
Web Analyst	Research Analyst
Statistical Analyst	Research Analyst
Operations Administrator	Office Administrator
Coding Manager	Medical Coding Manager
Quality Assurance (QA) Associate	Quality Assurance Engineer
Accuracy (%): 86.6161616162 (343/396)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc17-categories.txt
Control Specialist	Business Control Analyst
Quality Control Lead	Quality Lead
PLC Technician	PLC Maintenance Technician
Project Coordinator	IT Project Coordinator
Planner	Production Planner
Project Leader	Project Lead
Process Improvement Manager	Process Manager
Sheet Metal Engineer	Sheet Metal Mechanic
Electrical Controls Programmer	Electrical Apprentice
Lead Technician	Maintenance Manager
Scientist	Research Scientist
Building Engineer	Building Maintenance Worker
Manufacturing Planner	Manufacturing Supervisor
Imagery Analyst	Intelligence Analyst
Biomedical Engineering Technician	Engineering Technician
Imaging Engineer	Field Service Engineer
Accuracy (%): 91.9282511211 (205/223)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc19-categories.txt
Clinical Trials Assistant	Clinical Trials Manager
Quality Assurance Analyst	IT Quality Assurance Analyst
Laboratory Supervisor	Technician Supervisor
Field Specialist	Field Engineer
Analytical Technologist	Medical Technologist
Technical Assistant	Claims Assistant
Water Technician	Water and Wastewater Engineer
Transportation Analyst	Logistics Analyst
Quality Assurance (QA) Associate	Quality Assurance Engineer
Accuracy (%): 91.7355371901 (111/121)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc21-categories.txt
Counselor	Career Counselor
Career Coach	Job Coach
Education Specialist	Training and Development Specialist
Child Care Worker	Child Care Assistant
Multisystemic Therapy (MST) Therapist	Therapy Technician
Mental Health Practitioner	Mental Health Technician
Field Case Manager	Case Manager
Placement Specialist	Recruiter
Clinical Social Worker	Licensed Clinical Social Worker (LCSW)
Accuracy (%): 94.2196531792 (163/173)
loading files from /Users/tkang/github/CaroteneClassifier/carotene-classifier/src/src/main/resources/datasets/cascadeindex/soc23-categories.txt
Project Attorney	Project Manager
Operations Counsel	Operations Analyst
Accuracy (%): 97.4193548387 (151/155)
